round,accuracy,precision,recall,f1
39,0.4287563477048691,0.4351423486178341,0.37624341397109234,0.32895336668308295
40,0.4895947426067908,0.43616530387544766,0.42072174696425313,0.3632806485744325
41,0.4445882704371204,0.4471787114633382,0.39213167025196566,0.3526597850881776
42,0.44817285671612067,0.44235970742873687,0.39855482708467965,0.3406866672738675
43,0.4604201931693717,0.45388147084406405,0.39921317785246446,0.3511745283792966
44,0.45982276212287165,0.45527366027632116,0.40485348392351245,0.3594923221716187
45,0.40794583291845066,0.4510087698696587,0.3686425902598681,0.3171773812145033
46,0.47485811012645623,0.45959213477592115,0.4129704221260415,0.36590747877543084
47,0.47366324803345616,0.4571825053187507,0.4167385864203754,0.35765685339092823
48,0.49666434332370807,0.4655361864674416,0.43041259794846065,0.3857397543987794
49,0.51996415413721,0.4578068366523728,0.44078587358957455,0.3947864719428835
50,0.4788409837697899,0.45706215434087055,0.4181531519485294,0.361684811486013
51,0.47256795778153937,0.4665455916423443,0.42200148098078055,0.3620706508022167
52,0.452056158518371,0.4783695822853429,0.399560108882377,0.3566954791888467
53,0.503335656676292,0.4774402914829076,0.43250908657299625,0.3888082943856289
54,0.5116996913272926,0.4491213503591041,0.4313734520266305,0.38344504337998264
55,0.491984466792791,0.4645955738228452,0.426246164321222,0.37015257577559296
56,0.5338046400477945,0.4780232682231777,0.45833641358672833,0.40783550176262867
57,0.5239470277805437,0.4822032245437327,0.4464606801835643,0.4051291950153537
58,0.5538185801055462,0.47534297313850643,0.4676219808535836,0.4183664556807925
59,0.5628796176441302,0.46682050040610085,0.4724507534460263,0.414676466643102
60,0.5662650602409639,0.47436034948634875,0.46963131570408273,0.4225841585105073
61,0.5453549736134621,0.47973034850220764,0.46285891826174463,0.41324635822044165
62,0.5548142985163795,0.48195172891835353,0.46951754024156817,0.4237405514222292
63,0.5576023100667131,0.46392979782315596,0.47068013926753893,0.401360323636838
64,0.524046599621627,0.49019524899044103,0.4483063840298909,0.40575063449302284
65,0.5526237180125461,0.47061530348182573,0.4665957315237655,0.4086996642964675
66,0.5654684855122971,0.4801453420176289,0.4744684095908534,0.4247454825894203
67,0.5461515483421289,0.48038487586730094,0.4526442211143562,0.40767114491359896
68,0.5750273822562979,0.48606091262676215,0.4697630728337657,0.43166126410406724
69,0.568057353380464,0.4785590537676031,0.4837369286122356,0.42176095716321604
70,0.5565070198147963,0.5005218167450982,0.4670658626215411,0.4264989054731444
71,0.5775166782833815,0.4877368508868059,0.4853119853444076,0.4333843109669451
72,0.584387135318132,0.49443542494808246,0.49618875789561767,0.4375939119715908
73,0.6090809519068008,0.49964004635499504,0.5085321070788744,0.4595513859450136
74,0.5693517873145475,0.5021472414499326,0.4843903243705089,0.43711448951195714
75,0.5582993129542966,0.5046712206627496,0.48502252966002485,0.4255503899234261
76,0.6018122075077168,0.48974348142266044,0.49524489753867756,0.4495652138468853
77,0.5410733844468785,0.5062182410133869,0.45888599178067163,0.41664296596510586
78,0.6003186298914667,0.49998568813983424,0.5044256464686454,0.4538246281543057
79,0.6131633973912177,0.49525203996372597,0.5119784702791026,0.4552692694620294
80,0.5952404659962163,0.4881144385375574,0.49066842055989124,0.4402296018653602
81,0.6135616847555512,0.4948541469328586,0.5028088437479651,0.450482273518923
